fips,pct_hispanic,pct_black,pct_asian,total_pop,median_hh_income,pct_poverty,pct_foreign_born,pop_density,rucc_code,urban_rural,rep_vote_share_2024,crime_rate_per_100k,in_border_zone
01001,0.8,1.0,0.5,59285,69841,10.7,2.1,99.72999967253202,2.0,urban,0.7335887977652831,463.8610103736189,0
01003,1.6,0.4,1.8,239945,75019,10.5,1.1,150.92185364726907,3.0,urban,0.7934764602590862,127.9459876221634,1
01005,0.9,0.1,1.7,24757,44290,21.9,0.9,27.97375899380165,6.0,suburban,0.5741499385497747,105.02080219735832,0
01007,1.9,0.6,1.2,22152,51215,20.5,0.9,35.58728339311975,1.0,urban,0.8238494179088238,505.5976886962802,0
01009,1.7,0.1,0.6,59292,61096,14.1,0.5,91.94116949766655,1.0,urban,0.9077694235588972,640.8959050124806,0
01011,0.1,0.0,2.5,10157,36723,25.7,0.3,16.308213279184137,8.0,rural,0.269588638589618,482.4259131633356,0
01013,0.8,0.0,0.3,18807,44881,21.0,0.4,24.209664363094035,6.0,suburban,0.6140330048676244,353.4704370179948,1
01015,1.3,0.6,0.7,116141,55826,17.5,1.2,191.686551021687,3.0,urban,0.7257306780858936,370.2396225277895,0
01017,0.8,0.2,1.6,34450,49295,15.5,0.5,57.74830458786693,6.0,suburban,0.6171011618022103,502.177068214804,0
01019,1.8,0.0,0.3,25224,50769,14.5,0.3,45.56983116326747,8.0,rural,0.879714971729533,1240.8816999682842,0
01021,2.3,0.1,1.2,45500,61873,13.6,0.8,65.67203735921223,1.0,urban,0.8624732388622693,1061.5384615384614,0
01023,2.3,0.2,0.9,12525,44483,19.5,0.9,13.711314901728537,9.0,rural,0.6199758235116349,479.0419161676647,0
01025,0.6,0.1,0.5,22802,49167,20.5,0.3,18.412164560872238,9.0,rural,0.5856878573831147,478.028243136567,1
01027,0.9,0.0,0.6,14188,51852,16.5,0.4,23.49152874517822,9.0,rural,0.852385907536792,472.23005356639413,0
01029,0.9,0.0,0.4,15254,53319,13.2,0.8,27.23415747861097,8.0,rural,0.9203213486105624,852.2354792185656,0
01031,2.7,2.0,2.2,54231,64672,17.6,2.2,79.87055984483398,4.0,suburban,0.7917722664735699,272.90664011358814,1
01033,1.4,0.1,0.5,57648,56736,16.9,0.4,97.22190612158063,3.0,urban,0.7341998435812447,182.1398834304746,0
01035,0.9,0.3,0.3,11411,42266,27.6,0.2,13.420295486057356,9.0,rural,0.5702148925537232,8.763473841030585,1
01037,1.2,1.9,0.2,10323,57063,11.6,0.1,15.859356066313357,8.0,rural,0.7177234530175707,353.4704370179948,0
01039,1.4,0.3,0.6,37647,50886,18.0,0.7,36.53024894310789,6.0,suburban,0.8638102524866106,23.90628735357399,1
01041,1.2,0.0,0.3,13144,49040,16.2,0.2,21.58771303528259,8.0,rural,0.7743534148985597,174.984783931832,1
01043,1.5,0.2,0.7,89463,60916,13.9,0.5,121.76156246031834,4.0,suburban,0.9055049949699366,807.0375462481696,0
01045,2.1,1.9,0.7,49516,53955,18.7,3.0,88.24602951016267,4.0,suburban,0.7635021097046414,226.18951450036352,1
01047,0.7,0.4,0.0,37536,36810,29.0,0.3,38.35143079893229,4.0,suburban,0.33644496304939714,1054.9872122762147,0
01049,3.8,0.8,7.0,71946,51149,20.4,0.5,92.58541617626823,6.0,suburban,0.8721377292368412,255.74736608011565,0
01051,1.0,0.1,0.9,88669,75553,10.3,1.4,143.357660861798,2.0,urban,0.7624671916010499,400.365403917942,0
01053,5.9,0.5,0.5,36695,44447,21.2,0.8,38.813935065196425,6.0,suburban,0.7330280172413793,353.4704370179948,1
01055,1.4,0.5,1.8,103208,53070,17.1,0.6,192.87413198277756,3.0,urban,0.7804947460595446,65.88636539803116,0
01057,0.8,0.0,0.1,16173,50733,18.7,0.2,25.766163220356304,8.0,rural,0.8624096385542168,166.9449081803005,0
01059,2.1,0.4,9.2,31978,51493,17.4,0.5,50.44175678762586,6.0,suburban,0.8691697955778056,512.8525861529802,0
01061,2.0,0.6,0.5,26726,50951,19.1,0.6,46.521694977436624,3.0,urban,0.8870941558441559,0.0,1
01063,0.1,0.0,0.0,7589,31495,35.9,0.3,11.729102671718907,2.0,urban,0.22025883524141363,79.06179997364607,0
01065,0.5,0.0,0.2,14749,41325,23.9,0.4,22.902526466045163,2.0,urban,0.4655243885587951,353.4704370179948,0
01067,1.4,0.6,0.3,17450,60135,15.8,0.7,31.055794628272984,3.0,urban,0.7554042369217466,492.8366762177651,1
01069,1.3,0.5,1.1,107628,57531,18.0,1.1,185.62122966667445,3.0,urban,0.7409461217224619,596.4990522912253,1
01071,3.4,0.4,1.1,52839,49454,16.8,0.9,49.0151122899774,6.0,suburban,0.8596942053192856,395.5411722402014,0
01073,1.1,0.3,1.6,669744,64589,16.3,0.7,602.5368796004763,1.0,urban,0.4471601275427558,503.92388733605674,0
01075,0.8,0.8,0.4,13809,47447,15.1,0.7,22.830594269187873,8.0,rural,0.882146512648048,123.10811789412702,0
01077,1.2,0.1,0.6,95037,59082,13.6,0.4,142.26722339830366,3.0,urban,0.7600501928707534,388.2698317497396,0
01079,9.6,0.3,0.6,33182,60040,13.7,0.4,48.04220234134012,3.0,urban,0.8136440307365528,207.94406605991202,0
01081,1.1,0.5,2.3,177663,61123,18.9,1.5,292.42797271493976,3.0,urban,0.6407864323707149,424.96186600473925,0
01083,2.4,0.7,1.7,107577,83534,10.1,1.2,190.9411925304143,2.0,urban,0.7220972783410841,353.4704370179948,0
01085,0.3,0.0,0.1,10008,35160,29.6,0.5,13.975992667022753,2.0,urban,0.31253333333333333,309.75219824140686,0
01087,1.6,0.5,0.3,18951,45951,22.1,0.4,31.135344002473264,3.0,urban,0.21658511460211177,116.08886074613476,0
01089,2.0,1.0,2.0,397135,83528,10.5,2.1,495.4268719171921,2.0,urban,0.5455514504227597,396.3387764865852,0
