prob_bin,mean_pred,mean_obs,n
"[0,0.1]",0.037889340681958615,0.03884348361015907,11379
"(0.1,0.2]",0.14325736209643583,0.11462160176340926,2722
"(0.2,0.3]",0.2465039969678352,0.21417797888386123,1326
"(0.3,0.4]",0.3454085236077905,0.2890625,896
"(0.4,0.5]",0.44870638712448113,0.33587786259541985,655
"(0.5,0.6]",0.5494449637048213,0.4072790294627383,577
"(0.6,0.7]",0.6450428453432493,0.4942263279445728,433
"(0.7,0.8]",0.7501980826407494,0.6361323155216285,393
"(0.8,0.9]",0.8536742297215185,0.7538071065989848,394
"(0.9,1]",0.9558150966093325,0.9520426287744227,563
