variable,estimate,std_error,z_value,p_value,ci_lower,ci_upper
(Intercept),-4.852406597833966,0.07683970925304585,-63.14972616377541,0,-5.003009660552465,-4.701803535115467
pct_hispanic,0.10746317948591713,0.04059863150158038,2.646965562909034,0.008121762329250343,0.027891323921206315,0.18703503505062796
pct_black,0.15059002554373943,0.07872516417732597,1.9128575610784386,0.05576628983810558,-0.0037084609208222763,0.30488851200830114
pct_asian,0.0564250649594742,0.039029652753198585,1.4456973346976554,0.14826211225513206,-0.02007164876589957,0.13292177868484797
pct_foreign_born,0.13164653301570717,0.04149315694536934,3.172728775229984,0.0015101352905710103,0.05032143979791527,0.21297162623349908
median_hh_income,-0.007173330054466771,0.03725207030450734,-0.19256191658155516,0.847302072819055,-0.08018604620085519,0.06583938609192165
pct_poverty,-0.41977799411698385,0.053713205676371535,-7.815172988300052,5.488759631067238e-15,-0.5250539427368645,-0.31450204549710326
pop_density,0.1955613799553332,0.06864500692031215,2.8488798927845447,0.004387343979011382,0.061019638673018656,0.33010312123764773
rep_vote_share_2024,-0.8462517009254013,0.04345702053757245,-19.473302367651772,1.8495448620241233e-84,-0.9314258960544607,-0.7610775057963418
crime_rate_per_100k,-0.00317147115094743,0.031468204666211634,-0.10078335210374219,0.9197224426412196,-0.06484801895485749,0.05850507665296263
lag_1m,0.2287500816746446,0.09182086336782355,2.491264765811434,0.012728922498339621,0.04878449644433733,0.40871566690495187
lag_3m,0.38000634191872396,0.15501989330702753,2.451339204356794,0.0142325760135579,0.07617293414970827,0.6838397496877396
lag_6m,-0.12872557366813409,0.11235397843763302,-1.1457144238073318,0.25191333374448116,-0.3489353249256846,0.0914841775894164
in_border_zone,0.6969466168947719,0.08494544547089976,8.20463784763515,2.3128700763588884e-16,0.5304566031210973,0.8634366306684464
urban_ruralsuburban,0.5182740107973406,0.10773866600967683,4.810473620963438,1.5057307556460398e-6,0.3071101056759844,0.7294379159186968
urban_ruralurban,0.7866582254376127,0.09951244347329179,7.905124203374068,2.676665814556247e-15,0.5916174202163829,0.9816990306588425
